και	c e
απόγονοι	a p ò ɣ o n i
νοοτροπίας	n o o t r o p ì a s
φιλοσοφικό	f i l o s o f i k ò
πίστωση	p ì s t o s i
συνεισφέρουν	s i n i s f è r u n
επιβάλλονται	e p i v à l o d e
καθήκοντά	k a θ ì k o d à
όλ	ò l
νοικοκυριά	n i k o c i r ʝ à
πείς	p ì s
καρτέλα	k a r t è l a
ζημίες	z i m ì e s
στρωμάτων	s t r o m à t o n
παροιμία	p a r i m ì a
ενέργειά	e n è r ʝ i à
φιγούρες	f i ɣ ù r e s
κύρους	c ì r u s
διοτι	ð i/j o t i
γράψουμε	ɣ r à p s u m e
επιλεγεί	e p i l e ʝ ì
γυρω	ʝ i r o
ελληνισμό	e l i n i z m ò
ανταρτών	a d a r t ò n
πολ	p o l
προλεταριάτο	p r o l e t a r ʝ à t o
διαφορετικότητα	ð i/j a f o r e t i k ò t i t a
καθοριστική	k a θ o r i s t i c ì
τσε	t s e
αρσενικά	a r s e n i k à
αρνήθηκαν	a r n ì θ i k a n
πυκνά	p i k n à
βασιλικό	v a s i l i k ò
έγγραφη	è g r a f i
γυρίσουν	ʝ i r ì s u n
επικοινωνίες	e p i c i n o n ì e s
τάφους	t à f u s
χεις	ç i s
μείζονα	m ì z o n a
περιήγηση	p e r i ì ʝ i s i
αίτιο	è t i/j o
σταυρός	s t a v r ò s
μαγειρική	m a ʝ i r i c ì
κλέβει	k l è v i
ανήκαν	a n ì k a n
μόλυνσης	m ò l i n s i s
λαμβάνετε	l a m v à n e t e
εκμεταλλευτεί	e k m e t a l e f t ì
έφηβοι	è f i v i
συνελήφθησαν	s i n e l ì f θ i s a n
πρωτα	p r o t a
ιστοχώρος	i s t o x ò r o s
αναπτύχθηκαν	a n a p t ì x θ i k a n
εχθρών	e x θ r ò n
πάθους	p à θ u s
ίσια	ì s i/j a
ελένης	e l è n i s
καιρών	c e r ò n
κιθάρες	c i θ à r e s
νίκαιας	n ì c e a s
ποταμός	p o t a m ò s
θέλησαν	θ è l i s a n
συνδεδεμένη	s i n ð e ð e m è n i
αρρώστιες	a r ò s t i/j e s
οδηγηθεί	o ð i ʝ i θ ì
αντιδράσεων	a d i ð r à s e o n
εγκλημάτων	e g l i m à t o n
ειλικρινείς	i l i k r i n ì s
πλανητών	p l a n i t ò n
πρωτοφανή	p r o t o f a n ì
χρονολογείται	x r o n o l o ʝ ì t e
άνεμοι	à n e m i
συνανθρώπους	s i n a n θ r ò p u s
σωματικό	s o m a t i k ò
ρωτώ	r o t ò
απόκτησης	a p ò k t i s i s
ομίχλη	o m ì x l i
προέβλεπε	p r o è v l e p e
αντιστοιχία	a d i s t i ç ì a
επιχείρησε	e p i ç ì r i s e
πακέτου	p a c è t u
μολύβι	m o l ì v i
αρχιεπίσκοπο	a r ç e p ì s k o p o
μητροπολίτη	m i t r o p o l ì t i
μύθου	m ì θ u
παρατήρησα	p a r a t ì r i s a
κατάταξης	k a t à t a k s i s
συμβατική	s i m v a t i c ì
αυξάνοντας	a v k s à n o d a s
ασφαλούς	a s f a l ù s
σταθερής	s t a θ e r ì s
εμφανώς	e m f a n ò s
κτελ	k t e l
ιδεα	i ð e a
επιτρέπετε	e p i t r è p e t e
εκτάσεων	e k t à s e o n
χαμογέλασε	x a m o ʝ è l a s e
επισημαίνουν	e p i s i m è n u n
γαλλικής	ɣ a l i c ì s
τόμ	t ò m
επιθυμητή	e p i θ i m i t ì
στέλλα	s t è l a
κεφαλήν	c e f a l ì n
βυθό	v i θ ò
τονίζουν	t o n ì z u n
ανυπαρξία	a n i p a r k s ì a
παλαιότερη	p a l e ò t e r i
κάψει	k à p s i
κεφαλαιο	c e f a l e o
αποδεκτές	a p o ð e k t è s
ψηλότερα	p s i l ò t e r a
κατέλαβαν	k a t è l a v a n
κωδικούς	k o ð i k ù s
αντιπρόσωποι	a d i p r ò s o p i
πηγαίναμε	p i ʝ è n a m e
αριθμ	a r i θ m
νικ	n i k
αρμονικά	a r m o n i k à
επισημαίνοντας	e p i s i m è n o d a s
συχνότητας	s i x n ò t i t a s
θύμισε	θ ì m i s e
μπεί	b ì
καταβάλλεται	k a t a v à l e t e
αποφασίσετε	a p o f a s ì s e t e
συχνότητες	s i x n ò t i t e s
ευρωβουλευτές	e v r o v u l e f t è s
ανάψει	a n à p s i
διαβόλου	ð i/j a v ò l u
υποστήριξαν	i p o s t ì r i k s a n
φλέβες	f l è v e s
περιουσιών	p e r i/j u s ç ò n
μούρη	m ù r i
ενοχλούν	e n o x l ù n
μεταδίδεται	m e t a ð ì ð e t e
ενημερωθείτε	e n i m e r o θ ì t e
μαλλιών	m a l ʎ ò n
θηλυκά	θ i l i k à
υπολογίσει	i p o l o ʝ ì s i
ανανέωσης	a n a n è o s i s
τονίσει	t o n ì s i
ποινική	p i n i c ì
τζακ	t z a k
αξιοπρεπή	a k s i o p r e p ì
τηλεφωνικά	t i l e f o n i k à
φέρνοντας	f è r n o d a s
χειρόγραφα	ç i r ò ɣ r a f a
ταλέντα	t a l è d a
αγγλικής	a g l i c ì s
ψηφιακά	p s i f i/j a k à
βαθμίδες	v a θ m ì ð e s
διείσδυση	ð i/j e ì z ð i s i
μήτρας	m ì t r a s
σχέδιά	s ç è ð ʝ à
διόδια	ð ʝ ò ð i/j a
προωθείται	p r o o θ ì t e
ικανότητές	i k a n ò t i t è s
δικη	ð i c i
πλήττει	p l ì t i
εκλέγεται	e k l è ʝ e t e
άρματα	à r m a t a
επισημάνει	e p i s i m à n i
τονίσουμε	t o n ì s u m e
σηκώνεται	s i k ò n e t e
καθιερώθηκε	k a θ i/j e r ò θ i c e
νίτσε	n ì t s e
οπτικές	o p t i c è s
όρασης	ò r a s i s
ειπώθηκε	i p ò θ i c e
είμασταν	ì m a s t a n
προσφυγής	p r o s f i ʝ ì s
απαραιτήτως	a p a r e t ì t o s
κατηγορείται	k a t i ɣ o r ì t e
νικόλα	n i k ò l a
κανονισμοί	k a n o n i z m ì
καταχωρήσεις	k a t a x o r ì s i s
μηχανικά	m i x a n i k à
ψέμματα	p s è m a t a
παραδοσιακής	p a r a ð o s i/j a c ì s
διάλεξε	ð ʝ à l e k s e
κατοικεί	k a t i c ì
ανατολικό	a n a t o l i k ò
σκληρού	s k l i r ù
κβαντική	k v a d i c ì
πρωτεΐνες	p r o t e ì n e s
υδατάνθρακες	i ð a t à n θ r a c e s
νεκρού	n e k r ù
αποφεύγεται	a p o f è v ʝ e t e
σοσιαλιστική	s o s i/j a l i s t i c ì
εξωτερικοί	e k s o t e r i c ì
αύρα	à v r a
οικοδόμημα	i k o ð ò m i m a
αξιωματικών	a k s i o m a t i k ò n
δολοφονίες	ð o l o f o n ì e s
ικανά	i k a n à
επανένωση	e p a n è n o s i
γίγνεσθαι	ʝ ì ɣ n e s θ e
εκλογικά	e k l o ʝ i k à
κλειστές	k l i s t è s
ακαδημαϊκό	a k a ð i m a i k ò
φλεβάρη	f l e v à r i
κροατία	k r o a t ì a
ερευνητική	e r e v n i t i c ì
συνδυασμούς	s i n ð i a z m ù s
σπάσουν	s p à s u n
ράφι	r à f i
παρέχουμε	p a r è x u m e
παιχνιδι	p e x n i ð i
πανιώνιος	p a ɲ ò ɲ o s
πλαγιές	p l a ʝ è s
διασφαλίσουμε	ð i/j a s f a l ì s u m e
εθελοντική	e θ e l o d i c ì
συνάδελφο	s i n à ð e l f o
υπαίθρου	i p è θ r u
ανεξέλεγκτη	a n e k s è l e g t i
εξαφανίζονται	e k s a f a n ì z o d e
πιέζει	p ç è z i
ιδιωτικοποίηση	i ð i/j o t i k o p ì i s i
αναπόφευκτο	a n a p ò f e v k t o
παρηγοριά	p a r i ɣ o r ʝ à
κράτησαν	k r à t i s a n
σιωπής	s i/j o p ì s
χρειαστείτε	x r i a s t ì t e
χημεία	ç i m ì a
αναρτήσεις	a n a r t ì s i s
συνταγματική	s i d a ɣ m a t i c ì
ατυχία	a t i ç ì a
μάγκες	m à ɟ e s
δυνατότητές	ð i n a t ò t i t è s
συνυπάρχουν	s i n i p à r x u n
φάκελος	f à c e l o s
κλείνοντας	k l ì n o d a s
πτήσεων	p t ì s e o n
αστέρες	a s t è r e s
οικόπεδα	i k ò p e ð a
προορισμούς	p r o o r i z m ù s
δυτικών	ð i t i k ò n
ωσάν	o s à n
ευχαριστεί	e f x a r i s t ì
θέτω	θ è t o
επέτρεψαν	e p è t r e p s a n
λύσουμε	l ì s u m e
μεταβάλλεται	m e t a v à l e t e
σφιχτά	s f i x t à
καρλ	k a r l
τρέχουσες	t r è x u s e s
ενισχύσεων	e n i s ç ì s e o n
σύμπτωμα	s ì b t o m a
πιστό	p i s t ò
προφήτης	p r o f ì t i s
οδούς	o ð ù s
εξασφαλίζεται	e k s a s f a l ì z e t e
ακολουθούσαν	a k o l u θ ù s a n
δικτυακού	ð i k t i a k ù
ευρεσιτεχνίας	e v r e s i t e x n ì a s
νομοθετικό	n o m o θ e t i k ò
χρησιμεύει	x r i s i m è v i
σαι	s e
αναρχία	a n a r ç ì a
τυφλή	t i f l ì
κινήσει	c i n ì s i
παλικάρι	p a l i k à r i
γαλαξιών	ɣ a l a k s i ò n
ψηφίσματος	p s i f ì z m a t o s
εκμάθησης	e k m à θ i s i s
εικονικό	i k o n i k ò
σοβαρών	s o v a r ò n
σκαφών	s k a f ò n
κεφαλιού	c e f a ʎ ù
κοιτάζοντας	c i t à z o d a s
χαμός	x a m ò s
αστικού	a s t i k ù
βαριέμαι	v a r ʝ è m e
πλημμύρες	p l i m ì r e s
ανησυχείς	a n i s i ç ì s
αναγκάζεται	a n a g à z e t e
υπάγονται	i p à ɣ o d e
διασύνδεση	ð i/j a s ì n ð e s i
παρουσίαζε	p a r u s ì a z e
νοιάζεται	n i à z e t e
κωμόπολη	k o m ò p o l i
μανώλη	m a n ò l i
κυβερνητικός	c i v e r n i t i k ò s
χορεύουν	x o r è v u n
δίσκοι	ð ì s c i
πλατείας	p l a t ì a s
ελπίσουμε	e l p ì s u m e
ψηφιακές	p s i f i/j a c è s
κινημάτων	c i n i m à t o n
απεικονίζει	a p i k o n ì z i
λωρίδα	l o r ì ð a
καλούμε	k a l ù m e
αόρατο	a ò r a t o
γιορτάζει	ʝ o r t à z i
βιολογικό	v i/j o l o ʝ i k ò
διακόπτη	ð i/j a k ò p t i
μυθιστορήματος	m i θ i s t o r ì m a t o s
αλβανών	a l v a n ò n
εγχείρηση	e ɣ ç ì r i s i
έρθεις	è r θ i s
παρακολουθούσε	p a r a k o l u θ ù s e
ζούγκλα	z ù g l a
ρωμαίων	r o m è o n
κλήθηκε	k l ì θ i c e
εκθέσεων	e k θ è s e o n
επικείμενη	e p i c ì m e n i
ποιοτικό	p ç o t i k ò
εργαστηρίου	e r ɣ a s t i r ì u
δικαστικές	ð i k a s t i c è s
κατασταση	k a t a s t a s i
κήρυγμα	c ì r i ɣ m a
εννοούσε	e n o ù s e
χάλασε	x à l a s e
επικύρωση	e p i c ì r o s i
συνολικός	s i n o l i k ò s
διαστημικό	ð i/j a s t i m i k ò
ινσουλίνης	i n s u l ì n i s
κορμιά	k o r m j à
αρχαιότητας	a r ç e ò t i t a s
χοντρό	x o d r ò
αυτοκινητα	a f t o c i n i t a
άσχημος	à s ç i m o s
ανανεώσιμες	a n a n e ò s i m e s
συγκεντρώθηκαν	s i ɟ e d r ò θ i k a n
φτερό	f t e r ò
εφραίμ	e f r è m
αποτίμηση	a p o t ì m i s i
τετραγωνικά	t e t r a ɣ o n i k à
σημειώστε	s i m i ò s t e
θεωριών	θ e o r ʝ ò n
μπάσο	b à s o
φίλτρα	f ì l t r a
αδερφέ	a ð e r f è
ειδοποίηση	i ð o p ì i s i
ψήφοι	p s ì f i
χαιρετισμό	ç e r e t i z m ò
ιδιαίτερης	i ð i/j a ì t e r i s
αποφασιστική	a p o f a s i s t i c ì
χορδών	x o r ð ò n
εφεύρεση	e f è v r e s i
φράγκα	f r à g a
αναβάθμισης	a n a v à θ m i s i s
γραφική	ɣ r a f i c ì
άριστο	à r i s t o
διαθέσει	ð i/j a θ è s i
διαγωνισμούς	ð i/j a ɣ o n i z m ù s
εξωτερικούς	e k s o t e r i k ù s
γειτονικές	ʝ i t o n i c è s
φώτης	f ò t i s
παρουσιάσω	p a r u s ç à s o
μεταξάς	m e t a k s à s
πηγάδι	p i ɣ à ð i
ιδεολογικές	i ð e o l o ʝ i c è s
προσδιορισμός	p r o s ð i/j o r i z m ò s
ταξινόμηση	t a k s i n ò m i s i
αγοράσεις	a ɣ o r à s i s
προεκλογικής	p r o e k l o ʝ i c ì s
προσωπικός	p r o s o p i k ò s
άχρηστα	à x r i s t a
αστάθεια	a s t à θ i a
ειδικότητες	i ð i k ò t i t e s
πρωταθλητής	p r o t a θ l i t ì s
συντονισμός	s i d o n i z m ò s
ευλογίες	e v l o ʝ ì e s
συνδρομητές	s i n ð r o m i t è s
λάμπει	l à b i
μπιλ	b i l
εμπνέει	e b n è i
ελσίνκι	e l s ì n c i
αναπληρωτής	a n a p l i r o t ì s
κυβισμός	c i v i z m ò s
περιττό	p e r i t ò
τηλεσκόπιο	t i l e s k ò p i/j o
πυρηνικό	p i r i n i k ò
ανεβάσω	a n e v à s o
δοε	ð o e
έρθετε	è r θ e t e
σκάσει	s k à s i
γραμματείας	ɣ r a m a t ì a s
σωλήνες	s o l ì n e s
γαλαξία	ɣ a l a k s ì a
προσπαθούσα	p r o s p a θ ù s a
μεις	m i s
καιροί	c e r ì
τηλεοπτικών	t i l e o p t i k ò n
αλλιως	a l ʎ o s
επίκληση	e p ì k l i s i
ινών	i n ò n
ηλικιωμένους	i l i c o m è n u s
οικογενειακές	i k o ʝ e n i a c è s
εργοδότης	e r ɣ o ð ò t i s
ρίτσαρντ	r ì t s a r d
τρέχον	t r è x o n
πόθο	p ò θ o
κηφισίας	c i f i s ì a s
ενσωματώνει	e n s o m a t ò n i
βόλο	v ò l o
απέδωσε	a p è ð o s e
διακήρυξη	ð i/j a c ì r i k s i
πραγματικούς	p r a ɣ m a t i k ù s
μεξικού	m e k s i k ù
μικράς	m i k r à s
ού	ù
πολύτιμες	p o l ì t i m e s
υποβάλλουν	i p o v à l u n
άνεργοι	à n e r ʝ i
τοποθετήθηκε	t o p o θ e t ì θ i c e
καναδάς	k a n a ð à s
συσκευασίες	s i s c e v a s ì e s
προσδιορίσει	p r o s ð i/j o r ì s i
ποινικό	p i n i k ò
μάντσεστερ	m à d s e s t e r
καίρια	c è r i/j a
δημιουργών	ð i m i/j u r ɣ ò n
διακόψει	ð i/j a k ò p s i
κείμενά	c ì m e n à
ορθότητα	o r θ ò t i t a
σχεδιαστές	s ç e ð i/j a s t è s
θλιβερή	θ l i v e r ì
βενιζέλο	v e n i z è l o
ρύπων	r ì p o n
αλλος	a l o s
υπολογισμού	i p o l o ʝ i z m ù
πρωινή	p r o i n ì
καταλαμβάνουν	k a t a l a m v à n u n
φοράς	f o r à s
πολεμικό	p o l e m i k ò
διαδοχικά	ð i/j a ð o ç i k à
συνθέτη	s i n θ è t i
νεαρών	n e a r ò n
μύες	m ì e s
κατανοεί	k a t a n o ì
αισθήσεων	e s θ ì s e o n
τρίτα	t r ì t a
αλλοδαπών	a l o ð a p ò n
κείνο	c ì n o
οξεία	o k s ì a
έσω	è s o
ακραίο	a k r è o
στόλος	s t ò l o s
εξαγωγής	e k s a ɣ o ʝ ì s
αθλητικών	a θ l i t i k ò n
τραγουδίστρια	t r a ɣ u ð ì s t r i/j a
λογοτεχνικό	l o ɣ o t e x n i k ò
ανεπαρκής	a n e p a r c ì s
τοποθέτησης	t o p o θ è t i s i s
γενναία	ʝ e n è a
ανατροπής	a n a t r o p ì s
ανοίγματα	a n ì ɣ m a t a
μπράουν	b r à u n
επαρκείς	e p a r c ì s
κιβώτιο	c i v ò t i/j o
αναγνωρίζουμε	a n a ɣ n o r ì z u m e
ύφους	ì f u s
ξεχωριστές	k s e x o r i s t è s
ιταλικά	i t a l i k à
δημιουργικά	ð i m i/j u r ʝ i k à
προλάβουν	p r o l à v u n
περίεργος	p e r ì e r ɣ o s
γέννησή	ʝ è n i s ì
περιέχεται	p e r ʝ è ç e t e
επηρεαστεί	e p i r e a s t ì
εκφράζοντας	e k f r à z o d a s
υποχρεούται	i p o x r e ù t e
κατάθλιψης	k a t à θ l i p s i s
βαση	v a s i
σχηματισμού	s ç i m a t i z m ù
πλούσιους	p l ù s i/j u s
κοιτώντας	c i t ò d a s
κάτοχοι	k à t o ç i
αξιωματούχους	a k s i o m a t ù x u s
αλβανούς	a l v a n ù s
ζητήθηκε	z i t ì θ i c e
χάλυβα	x à l i v a
εγγράφως	e g r à f o s
καλοκαίρια	k a l o c è r i/j a
βιομηχανικές	v i/j o m i x a n i c è s
άραβες	à r a v e s
απηύθυνε	a p i ì θ i n e
αγαπημένος	a ɣ a p i m è n o s
άγχους	à ɣ x u s
γερμανό	ʝ e r m a n ò
έψαχνε	è p s a x n e
αλληλογραφίας	a l i l o ɣ r a f ì a s
κωδικού	k o ð i k ù
επόμενου	e p ò m e n u
λάμπα	l à b a
ολυμπία	o l i b ì a
τομέων	t o m è o n
κρίνεις	k r ì n i s
πληροί	p l i r ì
ασανσέρ	a s a n s è r
ρώσος	r ò s o s
απαραίτητος	a p a r è t i t o s
απειλείται	a p i l ì t e
αναρωτιούνται	a n a r o t ç ù d e
χρηματικό	x r i m a t i k ò
προθυμία	p r o θ i m ì a
ορίζοντες	o r ì z o d e s
καθενας	k a θ e n a s
φακέλους	f a c è l u s
προβολές	p r o v o l è s
σουφλιά	s u f ʎ à
ανέμου	a n è m u
παρουσιαστούν	p a r u s i/j a s t ù n
φιλοξενήσει	f i l o k s e n ì s i
μαθηματικός	m a θ i m a t i k ò s
αγαπημένους	a ɣ a p i m è n u s
διαμορφώνονται	ð i/j a m o r f ò n o d e
στήριγμα	s t ì r i ɣ m a
καπιταλιστικό	k a p i t a l i s t i k ò
βλάπτουν	v l à p t u n
γκρι	g r i
ντεμπούτο	d e b ù t o
αβραμόπουλος	a v r a m ò p u l o s
προλεταριάτου	p r o l e t a r ʝ à t u
εκπόνηση	e k p ò n i s i
πίτα	p ì t a
κατευθύνεται	k a t e f θ ì n e t e
στερούνται	s t e r ù d e
γάρ	ɣ à r
γενικών	ʝ e n i k ò n
χάριτος	x à r i t o s
θήκη	θ ì c i
στρατιώτη	s t r a t ç ò t i
ωρες	o r e s
ιδιωτικός	i ð i/j o t i k ò s
ανέλαβαν	a n è l a v a n
στρατιωτικού	s t r a t i/j o t i k ù
αμιγώς	a m i ɣ ò s
απλού	a p l ù
κεριά	c e r ʝ à
αντιπαραθέσεις	a d i p a r a θ è s i s
σύμπλεγμα	s ì b l e ɣ m a
γεωγραφικό	ʝ e o ɣ r a f i k ò
αλιείας	a ʎ e ì a s
προεδρίας	p r o e ð r ì a s
εταιρικής	e t e r i c ì s
καταλάβατε	k a t a l à v a t e
διαφωνούν	ð i/j a f o n ù n
έσπευσε	è s p e f s e
κακο	k a k o
μετάνοια	m e t à n i a
τρομακτική	t r o m a k t i c ì
συμφέροντά	s i m f è r o d à
διαιτητής	ð i/j a i t i t ì s
δηλώνω	ð i l ò n o
ρολόγια	r o l ò ʝ a
πολλοι	p o l i
απέστειλε	a p è s t i l e
ερχόμαστε	e r x ò m a s t e
ανθρωπους	a n θ r o p u s
γιους	ʝ u s
βαρέλι	v a r è l i
εργασιακών	e r ɣ a s i/j a k ò n
μηνιαία	m i ɲ a ì a
επιδόσεων	e p i ð ò s e o n
ουρανούς	u r a n ù s
υπόλοιπων	i p ò l i p o n
ηλείας	i l ì a s
κορυφές	k o r i f è s
ύτε	ì t e
καίγονται	c è ɣ o d e
αγαπήσει	a ɣ a p ì s i
λέσχες	l è s ç e s
ανταποκριθούν	a d a p o k r i θ ù n
δήλωνε	ð ì l o n e
διονύσης	ð i/j o n ì s i s
κιν	c i n
εξουσιοδότηση	e k s u s i/j o ð ò t i s i
ταξίδεψε	t a k s ì ð e p s e
μιλόσεβιτς	m i l ò s e v i t s
προτύπου	p r o t ì p u
μερικώς	m e r i k ò s
πρόσεξε	p r ò s e k s e
φορτίου	f o r t ì u
μικρο	m i k r o
διάλυμα	ð ʝ à l i m a
ελεγχθεί	e l e ɣ x θ ì
εργαζόμενο	e r ɣ a z ò m e n o
πάθηση	p à θ i s i
ναυτεμπορικη	n a f t e b o r i c i
αποδοτικότητα	a p o ð o t i k ò t i t a
καρδιακή	k a r ð i/j a c ì
κυκλώματα	c i k l ò m a t a
φάτε	f à t e
ρίξουμε	r ì k s u m e
σούπα	s ù p a
μάρκου	m à r k u
εύκολες	è v k o l e s
γρήγορες	ɣ r ì ɣ o r e s
τόμο	t ò m o
στήθους	s t ì θ u s
τρομοκρατική	t r o m o k r a t i c ì
επιθεώρηση	e p i θ e ò r i s i
βαριές	v a r ʝ è s
αντέχουν	a d è x u n
δαχτυλίδι	ð a x t i l ì ð i
ιωαννίδης	i o a n ì ð i s
αστυνομικές	a s t i n o m i c è s
πωλητές	p o l i t è s
υπηρετήσει	i p i r e t ì s i
αγάπησα	a ɣ à p i s a
απανταχού	a p a d a x ù
τζάμι	t z à m i
αντίστροφη	a d ì s t r o f i
σημερινοί	s i m e r i n ì
ανεπιφύλακτα	a n e p i f ì l a k t a
ταλιμπάν	t a l i b à n
άγνωστες	à ɣ n o s t e s
φώτο	f ò t o
αποζημιώσεις	a p o z i m j ò s i s
τάφος	t à f o s
συναρπαστική	s i n a r p a s t i c ì
νομολογία	n o m o l o ʝ ì a
οροφή	o r o f ì
ηλίθιοι	i l ì θ i/j o i
ήμαστε	ì m a s t e
οπωσ	o p o s
ψιλά	p s i l à
αθλητή	a θ l i t ì
σωματικές	s o m a t i c è s
επιμένω	e p i m è n o
τελοσ	t e l o s
θάνατοι	θ à n a t i
βλακείες	v l a c ì e s
χούφτα	x ù f t a
ύφεσης	ì f e s i s
ζακ	z a k
ρέει	r è i
ψυχών	p s i x ò n
ζήσαμε	z ì s a m e
φυλών	f i l ò n
σκοπιμότητες	s k o p i m ò t i t e s
συμβούλους	s i m v ù l u s
επέλθει	e p è l θ i
εμπλέκεται	e b l è c e t e
ονε	o n e
δημοκρατικού	ð i m o k r a t i k ù
αφής	a f ì s
αναστάσιος	a n a s t à s i/j o s
λαμβάνω	l a m v à n o
βιταμίνη	v i t a m ì n i
γλωσσικό	ɣ l o s i k ò
ακούστηκαν	a k ù s t i k a n
λειτουργικότητα	l i t u r ʝ i k ò t i t a
αλαζονεία	a l a z o n ì a
δοκίμασα	ð o c ì m a s a
ακόλουθος	a k ò l u θ o s
συγγενών	s i ɟ e n ò n
κοστίσει	k o s t ì s i
έλενα	è l e n a
τραγουδιστή	t r a ɣ u ð i s t ì
μεταφερθούν	m e t a f e r θ ù n
παρανομία	p a r a n o m ì a
αμυντικό	a m i d i k ò
μελάνι	m e l à n i
μεγεθών	m e ʝ e θ ò n
κύτταρο	c ì t a r o
αναπηρίας	a n a p i r ì a s
λόγον	l ò ɣ o n
καναλιού	k a n a ʎ ù
δεξιό	ð e k s i ò
χρειάζονταν	x r ʝ à z o d a n
πίκρα	p ì k r a
πράσινες	p r à s i n e s
προεκτάσεις	p r o e k t à s i s
κυμαίνονται	c i m è n o d e
συμβούλου	s i m v ù l u
κύπριος	c ì p r i/j o s
απέραντο	a p è r a d o
ξανα	k s a n a
σύμβουλο	s ì m v u l o
βεβαίωση	v e v è o s i
στείλουμε	s t ì l u m e
παγωμένο	p a ɣ o m è n o
κλάδων	k l à ð o n
υπεράνω	i p e r à n o
βιομηχανικής	v i/j o m i x a n i c ì s
παρατηρητές	p a r a t i r i t è s
κατοχύρωση	k a t o ç ì r o s i
φθάσουν	f θ à s u n
κινήτρων	c i n ì t r o n
αναρχικών	a n a r ç i k ò n
λογια	l o ʝ a
παραμέτρων	p a r a m è t r o n
κυριότερα	c i r ʝ ò t e r a
απολαύσει	a p o l à f s i
θιβέτ	θ i v è t
δημοτικότητα	ð i m o t i k ò t i t a
κόβουν	k ò v u n
φήμης	f ì m i s
πλάτωνας	p l à t o n a s
εβραϊκή	e v r a i c ì
απλής	a p l ì s
θεότητα	θ e ò t i t a
ενοικιάσεις	e n i c à s i s
επιδημία	e p i ð i m ì a
αδύναμο	a ð ì n a m o
διαδραματίσει	ð i/j a ð r a m a t ì s i
θεώ	θ e ò
βιντεο	v i d e o
τραύματα	t r à v m a t a
τιμητική	t i m i t i c ì
περιορισμού	p e r i/j o r i z m ù
αγάπησε	a ɣ à p i s e
εναλλακτικό	e n a l a k t i k ò
περιφερειακές	p e r i f e r i a c è s
γεγονος	ʝ e ɣ o n o s
αντιπαράθεσης	a d i p a r à θ e s i s
αμφισβήτησης	a m f i s v ì t i s i s
θρίλερ	θ r ì l e r
μπάντες	b à d e s
εντατική	e d a t i c ì
ποδοσφαιριστή	p o ð o s f e r i s t ì
αρμόδιους	a r m ò ð i/j u s
εστιάζει	e s t ç à z i
οικολογικό	i k o l o ʝ i k ò
θεωρήσει	θ e o r ì s i
σκοπιμότητα	s k o p i m ò t i t a
δικαιολογήσει	ð i c e o l o ʝ ì s i
φιλίππου	f i l ì p u
μάρμαρο	m à r m a r o
μετατράπηκε	m e t a t r à p i c e
μισές	m i s è s
πλατιά	p l a t ç à
ομίλους	o m ì l u s
ανατρέψει	a n a t r è p s i
δημοτικών	ð i m o t i k ò n
καταδικάζει	k a t a ð i k à z i
παθών	p a θ ò n
ολυμπιάδα	o l i b ʝ à ð a
διαπιστώσουμε	ð i/j a p i s t ò s u m e
μόναχο	m ò n a x o
υπέστησαν	i p è s t i s a n
έψαχνα	è p s a x n a
προστίθενται	p r o s t ì θ e d e
απόκλιση	a p ò k l i s i
πιστοποιητικά	p i s t o p i i t i k à
αντιληφθούμε	a d i l i f θ ù m e
λεμεσού	l e m e s ù
πιθανών	p i θ a n ò n
αναγκάζονται	a n a g à z o d e
παράμετροι	p a r à m e t r i
φωλιά	f o ʎ à
προγραμματιστεί	p r o ɣ r a m a t i s t ì
σκεπτόμενος	s c e p t ò m e n o s
παρεξήγηση	p a r e k s ì ʝ i s i
χορεύει	x o r è v i
φέρονται	f è r o d e
ενεργούν	e n e r ɣ ù n
εξηγούν	e k s i ɣ ù n
αθλητική	a θ l i t i c ì
συζητήθηκε	s i z i t ì θ i c e
επιτήρηση	e p i t ì r i s i
σκληρότητα	s k l i r ò t i t a
αδελφού	a ð e l f ù
ανακαλύψετε	a n a k a l ì p s e t e
δοκίμασε	ð o c ì m a s e
αιχμής	e x m ì s
προσεγγίζει	p r o s e ɟ ì z i
επανήλθε	e p a n ì l θ e
είπεν	ì p e n
πετούν	p e t ù n
λυθούν	l i θ ù n
κλασικής	k l a s i c ì s
διαφορετικής	ð i/j a f o r e t i c ì s
προκατάληψη	p r o k a t à l i p s i
ανισότητα	a n i s ò t i t a
φυλλάδιο	f i l à ð i/j o
βοσνία	v o s n ì a
επέστρεψαν	e p è s t r e p s a n
ενάμιση	e n à m i s i
τρώτε	t r ò t e
ανωνυμία	a n o n i m ì a
φρούριο	f r ù r i/j o
καπνίζει	k a p n ì z i
συζητηση	s i z i t i s i
βρέφη	v r è f i
άσφαλτο	à s f a l t o
θεώρησαν	θ e ò r i s a n
αμέτρητες	a m è t r i t e s
δυσάρεστη	ð i s à r e s t i
υφάσματα	i f à z m a t a
σάββα	s à v v a
γεωμετρία	ʝ e o m e t r ì a
αστέρας	a s t è r a s
λιανικής	ʎ a n i c ì s
ταυτοχρόνως	t a f t o x r ò n o s
λείψανα	l ì p s a n a
ανακοινωση	a n a c i n o s i
πεχωδε	p e x o ð e
είχεν	ì ç e n
ακίνητη	a c ì n i t i
φοράνε	f o r à n e
ερευνητών	e r e v n i t ò n
γαμώ	ɣ a m ò
